% Beth Kieler
% bkiel3
% 11/27/2014
%
% Title: Image Training Data
% Num of bins:  8
%
% Description:
% This is one training file for image classification to categorize images into one of seven 
% categories: Piano, Kangaroo, Strawberry, Sunflower, Airplane, Face and Leopard.  The
% data set consists of 320 training images

% Number of Attributes: 3 numeric, predictive attributes and the class
% 
% Attributes:
%    1. bin1 
%    2. bin2
%    3. bin3
%	 4. bin4
%	 5. bin5
%	 6. bin6
%	 7. bin7
%	 8. bin8
%    9. Class - Piano, Kangaroo, Strawberry, Sunflower, Airplane, Face or Leopard
%    
% Summary:
%    Piano 50   
%    Kangeroo 50   
%    Strawberry 20   
%    Sunflower 50   
%    Airplane 50   
%    Face 50   
%    Leopard 50   
%

@RELATION images

@ATTRIBUTE bin1 numeric
@ATTRIBUTE bin2 numeric
@ATTRIBUTE bin3 numeric
@ATTRIBUTE bin4 numeric
@ATTRIBUTE bin5 numeric
@ATTRIBUTE bin6 numeric
@ATTRIBUTE bin7 numeric
@ATTRIBUTE bin8 numeric
@ATTRIBUTE class 	{Piano,Kangaroo,Strawberry,Sunflower,Airplane,Face,Leopard}

@DATA
11252,869,346,7451,35,554,2,37391,airplane
9337,46,17,276,1598,7734,26,38834,airplane
51418,17,504,83,4093,1349,379,8457,airplane
39264,371,245,615,3768,2090,14,12488,airplane
18475,1424,1081,716,487,2022,38,45057,airplane
29060,44,694,2094,290,8,3,26307,airplane
21827,1,2,0,7043,491,12,25013,airplane
43805,1,438,4715,13802,6642,4,6793,airplane
30314,559,43,693,1968,1321,0,29740,airplane
29102,3971,46,520,2607,6646,7,17101,airplane
6365,0,0,0,794,539,27,53413,airplane
3310,2,33642,12521,337,0,58,8930,airplane
13817,135,2578,11322,485,746,103,46714,airplane
21885,8,0,0,2777,11563,0,32759,airplane
22195,0,63302,367,98,0,113,3925,airplane
6907,0,0,0,1002,688,0,51899,airplane
23055,718,527,526,130,177,96,32671,airplane
11278,754,0,93,104,487,0,36784,airplane
3134,8,32439,19293,423,143,8,7552,airplane
20901,131,9,44,5627,11250,15,18423,airplane
10206,12,237,362,0,4,0,52779,airplane
18234,7,16087,3513,136,246,12,15165,airplane
43515,1052,54,626,564,1093,2,23894,airplane
24898,717,510,179,329,5212,81,23574,airplane
27630,333,278,188,1643,8221,44,12663,airplane
24696,1880,220,517,736,25854,1,6096,airplane
2353,7973,249,171,50,18451,18,37635,airplane
6211,18,0,0,24,108,0,59939,airplane
31429,4,179,62,1535,174,56,31361,airplane
25167,388,217,710,3327,4763,2,22726,airplane
14833,65,8721,15389,304,336,40,14612,airplane
28061,4,85,3086,719,1261,10,23774,airplane
24821,38,3527,17615,137,743,3,17316,airplane
26369,311,0,0,9022,16086,3,15019,airplane
36740,22,2369,6974,520,261,190,19824,airplane
7555,34,33305,951,268,484,8,4195,airplane
3186,0,163,85,72,2,112,55480,airplane
